X,Y,OBJECTID,park_id,comment,longitude,latitude,feature_ty,map_label,full_path,edit_type,gps_date,last_edited_date,created_user,created_date,last_edited_user,park_name,Feature_Desc,type_id,feature_id,GlobalID,category,facility_name,address,city,zip_code,business_unit,responsibility
1448219.13376081,541282.408828646,1,165,"Mp Concession, Storage",-76.52083161,39.15195791,11, , ,ATTRIBUTE UPDATE,2013/09/12 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Sunset Park,"Multipurpose - Concession, Storage",,1833,{D4374465-A657-4770-A30B-CE318BD9F719},PARK,"Sunset Park - Multipurpose - Concession, Storage",8570 Fort Smallwood Rd,Pasadena,21122,8383,FMD W/DW
1420169.2272623,568178.845193148,2,040,BENCH,-76.61934645,39.226166,31, , , ,2013/04/23 00:00:00+00,2015/11/03 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Brooklyn Park I,,,185069,{15ABEDBC-73FE-4FEF-A061-631E439C0086},PARK,,310 10th Ave,Brooklyn,21225,8397,
1420947.05116597,530104.544045314,3,159,ALUMINUM BENCH SET IN CONC,-76.61716443,39.12162167,30, , , ,2014/01/27 00:00:00+00,2014/11/25 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITGLAD00@AACO,Southgate Old Mill Park,,,185070,{1F0C8F86-C8F2-4DBE-AAC8-BA949C1B757B},PARK,,8224 Oakwood Rd,Millersville,21108,8380,
1469184.79852231,535254.327380896,4,077,WOODEN BENCH,-76.44703141,39.135082,31, , , ,2013/12/09 00:00:00+00,2014/11/26 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Hancocks Resolution,,,185071,{43943A01-0EB7-41C8-BF22-6D9D966B69EE},PARK,,2795 Bayside Beach Rd,Pasadena,21122,8391,
1473053.54734647,527595.174720228,5,001,4 TABLES 2 GRILLS,-76.43356025,39.11398813,8, , , ,2013/03/15 00:00:00+00,2018/05/24 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Downs Memorial Park,,,1495,{26090211-DADA-4BFB-9F61-05125664AD8D},PARK,,8311 John Downs Loop,Pasadena,21122,8322,
1446010.23201063,506528.910094306,6,175,NO PARKING,-76.52925261,39.05657031,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/B%20and%20A%20Trail/TG08151311.JPG, ,2013/08/15 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,B and A Trail,,,185072,{0EA9C730-84DB-4870-B17A-88BE33EB8A09},PARK,,,,,,
1398032.9506688,412655.147710979,7,002,BLUEBERRY TRAIL,-76.69929416,38.79937643,39, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/Jug%20Bay/JUGBAY0222133.JPG, ,2013/02/22 00:00:00+00,2018/12/28 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Jug Bay Wetlands Sanctuary,,,185073,{4B841F1E-021A-44E9-9D9A-18012C3D5B72},PARK,,1361 Wrighton Rd,Lothian,20711,8334,
1470965.76936981,526822.91740647,8,001,"Bridge, Pedestrian (Near Western Campsite)",-76.44093489,39.11190318,55,,,,,,,,,Downs Memorial Park,,,1497,{FB8D033E-56EB-4BEC-9C52-682437290888},PARK,"Downs Memorial Park - Bridge, Pedestrian (Near Western Campsite)",8311 John Downs Loop,Pasadena,21122,8322,Rec and Parks
1440620.82907556,533985.841400817,9,078,PICNIC AREA 4 TABLES,-76.54775231,39.13203107,8, , , ,2013/07/08 00:00:00+00,2018/12/31 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Havenwood Park,Picnic Area,,2935,{10197CD2-DD79-40BC-B258-1A93FEEAFA4A},PARK,,7923 Outing Ave,Pasadena,21122,8405,
1447962.3311248,502006.955227479,10,175,REVELL STATION,-76.52246162,39.04412685,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/B%20and%20A%20Trail/TG08151328.JPG, ,2013/08/15 00:00:00+00,2021/04/08 17:28:14+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITVBOD20,B and A Trail,,,185074,{24A2F2AA-D6C0-476B-B3A2-800AAE8822AD},PARK,,,,,,
1406695.70598106,510380.523782149,11,010,Wooden Shed,-76.66764966,39.06762026,11, , , ,2013/12/24 00:00:00+00,2022/10/13 19:45:16+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,RPMCCR07,Dairy Farm,,,2427,{A7AF994E-44B1-4F6C-A7DB-7980B648E2CF},PARK,Dairy Farm - Shed (by Corn Maze),100 Dairy Ln,Gambrills,21054,8421,Rec and Parks
1418874.32401222,545836.89578265,12,072,ICE RINK,-76.62424196,39.16483983,4, , , ,2013/08/21 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Glen Burnie Town Center Ice Rink,Ice Rink,,1245,{4E33F7E6-0015-4957-BB37-F530F38376F6},PARK,,105 Crain Hwy N,Glen Burnie,21061,8044,
1415364.53542814,546898.474040061,13,147,BENCH,-76.63660562,39.16779348,31, , , ,2013/09/05 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,Sawmill Creek Park,,,185075,{71C17443-691B-45C5-A8A9-9CB8C9B85D73},PARK,,7405 Charley Eckman Ln,Glen Burnie,21061,8332,
1427975.39143997,508784.19036065,14,017,BENCH,-76.59272678,39.06300062,31, , , ,2013/04/05 00:00:00+00,2014/12/15 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Arden on the Severn Park,,,185076,{9AC6F66D-D638-436C-B39C-53D576EAC63C},PARK,,1103 Sunrise Beach Rd,Crownsville,21032,8337,
1412489.8882903,545828.728148058,15,042,NO MOTOR VEHICLES,-76.64675914,39.1648874,38, ,http://countyconnect/sites/RecsParks/ParkPlannerDocs/Document%20Library/ParkSigns/BWI%20Trail/GW08201325.JPG, ,2013/08/20 00:00:00+00,2018/12/27 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITMAGL23@AACO,BWI Trail,,,185077,{E0A56AE0-549A-4B9D-B4DF-B46F1BC72488},PARK,,,,,,
1424757.46119605,460237.813700303,16,139,ALUMINUM BENCH SET IN CONC,-76.6047999,38.92974686,30, , , ,2014/01/06 00:00:00+00,2014/11/13 00:00:00+00,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Riva Area Park,,,185078,{4FBB552C-A27F-4DB5-A78B-B5BFE0727638},PARK,,3639 Riva Rd,Davidsonville,21035,8418,
1402170.41975605,404010.539015979,17,342,Krause Barn,-76.68488119,38.77560184,11, , , ,2013/03/08 00:00:00+00,,ITMAGL23@AACO,2019/05/06 00:00:00+00,ITLOLL99@AACO,Emory Waters Nature Preserve (Jug Bay),Barn (Krause),,1585,{68FF485E-92F0-4CDE-842C-E9C6988E2D4F},PARK,Emory Waters Nature Preserve (Jug Bay) - Krause Barn,1361 Wrighton Rd,Lothian,20711,8334,Rec and Parks
1400427.83531472,432743.012390807,18,126,WATER-ROCK BRANCH,-76.69065207,38.85451115,12, , ,FEATURE ADDITION,,,ITLOLL99@AACO,2019/07/03 00:00:00+00,ITLOLL99@AACO,Wootons Landing Park,,,2784,{6BD0DEF3-67F1-44C9-A7AB-800D1DE5422A},PARK,,4550 Sands Rd,Harwood,20776,,
